title,cover,rating,director,actor,category,country,language,pub_date,duration
超能陆战队 Big Hero 6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg,8.7,唐·霍尔 / 克里斯·威廉姆斯,斯科特·安第斯 / 瑞恩·波特 / 丹尼尔·海尼 / T·J·米勒 / 杰米·钟 / 小达蒙·韦恩斯 / 珍尼希斯·罗德里格兹 / 詹姆斯·克伦威尔 / 艾伦·图代克 / 玛娅·鲁道夫 / 亚布拉哈姆·本鲁比 / 凯蒂·洛斯 / 比利·布什 / 丹尼尔·吉尔森 / 保罗·布里格斯,喜剧 / 动作 / 科幻 / 动画 / 冒险, 美国, 英语,2015-02-28(中国大陆) / 2020-07-31(中国大陆重映) / 2014-10-23(东京电影节) / 2014-11-07(美国),102分钟
酒精计划 Druk,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628440526.jpg,7.7,托马斯·温特伯格,麦斯·米科尔森 / 托玛斯·博·拉森 / 马格努斯·米兰 / 拉斯·兰特 / 玛利亚·邦妮薇 / 海伦娜·赖因科德·纳曼 / 苏西·沃德 / 艾伯特·鲁德贝克·林哈特 / 弗莱德瑞克·温瑟·拉斯穆森 / 多尔特·回斯特德 / 莫滕·桑博 / 奥勒·杜邦 / 比尔·克林顿 / 列昂尼德·伊里奇·勃列日涅夫 / 让-克洛德·容克 / 安格拉·默克尔 / 欧尔班·维克托 / 尼古拉·萨科齐 / 鲍里斯·尼古拉耶维奇·叶利钦 / Silas Cornelius Van / Martin Greis-Rosenthal / Magnus Sjørup / Aksel Vedsegaard / Gustav Sigurth Jeppesen / Aya Grann,剧情 / 喜剧, 丹麦 / 瑞典 / 荷兰, 丹麦语 / 瑞典语,2020-09-12(多伦多电影节) / 2020-09-24(丹麦),117分钟
扫黑·决战,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2641608918.jpg,6.5,吕聿来,姜武 / 张颂文 / 金世佳 / 李倩 / 赵毅 / 焦刚 / 尤勇智 / 刘琳 / 白志迪 / 王丽云 / 钱波 / 王佳佳 / 董博睿 / 徐可珑 / 张康乐 / 阿如那 / 蒋雪鸣 / 陈进 / 宗俊涛 / 涂圣成 / 王浩丞 / 吴双 / 范诗然 / 柳俊岐 / 秦海 / 钱漪 / 张天舒 / 王欣嘉 / 贾凤柱 / 王若溪 / 顾语涵 / 王峰 / 王建龙 / 张海怡 / 王静宇,剧情 / 动作 / 犯罪, 中国大陆, 汉语普通话,2021-05-01(中国大陆),112分钟
扎克·施奈德版正义联盟 Zack Snyder's Justice League,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2634360594.jpg,8.3,扎克·施奈德,本·阿弗莱克 / 亨利·卡维尔 / 盖尔·加朵 / 杰森·莫玛 / 埃兹拉·米勒 / 雷·费舍尔 / 艾米·亚当斯 / 威廉·达福 / 杰西·艾森伯格 / 杰瑞米·艾恩斯 / 戴安·琳恩 / 康妮·尼尔森 / J·K·西蒙斯 / 塞伦·希德 / 郑恺 / 艾梅柏·希尔德 / 乔·莫顿 / 丽莎·洛文·孔斯利 / 大卫·休里斯 / 安·奥戈博莫 / 奥古斯塔·艾娃·艾伦德斯杜提尔 / 克里斯特比约格·凯尔德 / 英格瓦·埃盖特·西古德松 / 马克·麦克卢尔 / 迈克尔·麦克埃尔哈顿 / 约翰·达格尔什 / 拉腊·德坎罗 / 罗比·基 / 吉姆·斯图格恩 / 杜晨·科洛斯 / 埃莉诺·松浦 / 萨曼塔·若 / 布鲁克恩斯 / 杰罗姆·普拉顿 / 理查德·克里弗特 / 文森特·里奥特 / 马克·阿诺德 / 彼得·吉尼斯 / 赛吉·康斯坦斯 / 奥萝尔·劳泽瑞尔 / 朱利安·刘易斯·琼斯 / 雷·波特 / 弗朗西斯·麦基 / 科雷西·克莱门斯 / 露西·布莱尔斯 / 威尔·柯班 / 凯伦·布莱森 / 克里斯蒂·梅尔 / 吉安皮罗·科格诺利 / 寇布勒·霍尔德布鲁克-史密斯 / 凯文·马图林 / 泰勒·詹姆斯 / 布鲁斯·钟 / 奥赖恩·李 / 奥利弗·加茨 / 凯莉·波尔克 / 奥利弗·鲍威尔 / 哈里·伦尼克斯 / 欧米·罗斯 / 萨姆·本杰明 / 卡拉·古奇诺 / 罗素·克劳 / 扎克·施奈德,动作 / 科幻 / 奇幻 / 冒险, 美国, 英语,2021-05-03(中国大陆网络) / 2021-03-18(美国),242分钟
当幸福来敲门 The Pursuit of Happyness,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,9.1,加布里埃莱·穆奇诺,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 / 布莱恩·豪威  / 詹姆斯·凯伦 / 丹·卡斯泰兰尼塔 / 柯特·富勒 / 塔卡尤·费舍尔 / 凯文·韦斯特 / 乔治·张 / 戴维·迈克尔·西尔弗曼 / 多米尼克·博夫 / 杰弗·卡伦 / 乔伊芙·拉文 / 斯科特·克拉斯,剧情 / 家庭 / 传记, 美国, 英语 / 粤语,2008-01-17(中国大陆) / 2020-07-20(中国大陆重映) / 2006-12-15(美国),117分钟
唐人街探案,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2302930556.jpg,7.7,陈思诚,王宝强 / 刘昊然 / 佟丽娅 / 陈赫 / 肖央 / 小沈阳 / 潘粤明 / 马浴柯 / 张子枫 / 赵英俊 / 桑平 / 金士杰 / 大鹏 / 张国强 / 李叶青 / 陈祉希 / 戴墨,喜剧 / 动作 / 悬疑, 中国大陆, 汉语普通话 / 泰语 / 英语,2015-12-31(中国大陆),135分钟
海王 Aquaman,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg,7.6,温子仁,杰森·莫玛 / 艾梅柏·希尔德 / 威廉·达福 / 帕特里克·威尔森 / 妮可·基德曼 / 杜夫·龙格尔 / 叶海亚·阿卜杜勒-迈丁 / 特穆拉·莫里森 / 林路迪 / 迈克尔·比奇 / 兰道尔·朴 / 格拉汉姆·麦克泰维什 / 雷·沃纳尔 / 泰努伊·柯克伍德 / 塔穆尔·柯克伍德 / 丹泽尔·夸克 / 卡恩·古尔杜尔 / 奥蒂斯·丹吉 / 克考亚·克库毛诺 / 朱莉·安德鲁斯 / 约翰·瑞斯-戴维斯 / 杰曼·翰苏 / 索菲亚·福雷斯特 / 娜塔莉·萨福兰 / 杰克·安德鲁 / 汉克·阿莫斯 / 帕特里克·考克斯 / 罗伯特·朗斯特里特 / 德维卡·帕利赫 / 梅布尔·塔莫内 / 文森特·B·拉戈斯 / 加布里埃拉·佩特科娃 / 爱丽丝·兰斯伯里 / 帕特里克·艾奇逊 / 约翰·盖蒂尔 / 塔丽亚·杰德·霍尔特 / 罗斯·克纳汉 / 布拉登·刘易斯 / 萨尔瓦多·梅伦达 / 山姆·莫纳汉 / 温妮·穆赞贝 / 凯·潘塔诺 / 安娜·帕奇 / 乔恩·奎斯蒂德 / 迪伦·斯图默 / 米奇·武尔夫,动作 / 奇幻 / 冒险, 美国 / 澳大利亚, 英语 / 毛利语 / 意大利语 / 俄语,2018-12-07(中国大陆) / 2018-12-21(美国),143分钟
海上钢琴师 La leggenda del pianista sull'oceano,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,9.3,朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 / 克兰伦斯·威廉姆斯三世 / 梅兰尼·蒂埃里 / 皮特·沃恩 / 尼尔·奥布赖恩 / 阿尔贝托·巴斯克斯 / 加布里埃莱·拉维亚 / 科里·巴克 / 西德尼·科尔 / Luigi De Luca / 尼古拉·迪·平托 / 费米·依鲁福祖 / 伊斯顿·盖奇 / 凯文·麦克纳利 / 布莱恩·普林格 / 沙拉·鲁宾 / 希思科特·威廉姆斯 / 阿妮妲·扎格利亚 / 安吉洛·迪洛雷塔,剧情 / 音乐, 意大利, 英语 / 法语 / 意大利语,2019-11-15(中国大陆) / 1998-10-28(意大利),165分钟 / 120分钟(法国版) / 169分钟(加长版) / 125分钟(中国大陆)
我是大哥大 电影版 今日から俺は！！劇場版,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2595471914.jpg,7.9,福田雄一,贺来贤人 / 伊藤健太郎 / 清野菜名 / 桥本环奈 / 仲野太贺 / 柳乐优弥 / 山本舞香 / 矢本悠马 / 若月佑美 / 柾木玲弥 / 铃木伸之 / 猪塚健太 / 矶村勇斗 / 佐藤二朗 / 吉田钢太郎 / 泉泽祐希 / 荣信 / 爱原实花,喜剧, 日本, 日语,2020-07-17(日本),114分钟
我和我的家乡,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2620453443.jpg,7.2,宁浩 / 徐峥 / 陈思诚 / 闫非 / 彭大魔 / 邓超 / 俞白眉,葛优 / 黄渤 / 范伟 / 邓超 / 沈腾 / 张占义 / 王宝强 / 徐峥 / 闫妮 / 马丽 / 刘敏涛 / 刘昊然 / 卢靖姗 / 王子文 / 魏翔 / 章宇 / 王砚辉 / 张译 / 王源 / 张一鸣 / 杨新鸣 / 王迅 / 于和伟 / 苗阜 / 辣目洋子 / 张子贤 / 董子健 / 陶虹 / 吴京 / 韩彦博 / 吕行 / 佟丽娅 / 李晨 / 孙俪 / 赵铁人 / 郝云 / 彭昱畅 / 杨紫 / 岳云鹏 / 赵海燕 / 岳小军 / 王俊凯 / 贾玲 / 潘斌龙 / 高睿菲儿 / 陈数 / 代乐乐 / 黄才伦 / 雷佳音 / 梁超 / 孙贵权 / 韩昊霖 / 岳红 / 陶亮 / 李易峰 / 许猛 / 郭帆 / 卫莱 / 栗坤 / 薇娅 / 李佳琦 / 白泽泽,剧情 / 喜剧, 中国大陆, 汉语普通话,2020-10-01(中国大陆),153分钟
吉祥如意,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2632185061.jpg,7.9,大鹏,王吉祥 / 大鹏 / 刘陆,剧情 / 家庭, 中国大陆, 汉语普通话,2021-01-29(中国大陆) / 2020-07-26(上海电影节),80分钟
送你一朵小红花,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2618247457.jpg,7.4,韩延,易烊千玺 / 刘浩存 / 朱媛媛 / 高亚麟 / 夏雨 / 岳云鹏 / 陈祉希 / 李晓川 / 孔琳 / 吴晓亮 / 张绍刚 / 孙强 / 安笑歌 / 李增辉 / 姚未平 / 张浩天 / 柴陆,剧情, 中国大陆, 汉语普通话,2020-12-31(中国大陆),128分钟
寄生虫 기생충,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,8.8,奉俊昊,宋康昊 / 李善均 / 曹如晶 / 崔宇植 / 朴素丹 / 李姃垠 / 张慧珍 / 郑知晓 / 朴明勋 / 朴叙俊 / 朴根禄 / 郑贤俊 / 朴孝新 / 安德烈亚斯·弗龙克,剧情 / 喜剧, 韩国, 韩语 / 英语,2019-05-21(戛纳电影节) / 2019-05-30(韩国),132分钟
夏洛特烦恼,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2264377763.jpg,7.7,闫非 / 彭大魔,沈腾 / 马丽 / 尹正 / 艾伦 / 王智 / 田雨 / 宋阳 / 常远 / 李萍 / 李立群 / 张一鸣 / 马小茜 / 赵震 / 董良瑜 / 刘坤 / 黄才伦 / 陈昊明 / 陆林洁 / 王成思 / 刘金 / 刘立东 / 杨欢 / 宁幻秋 / 温森 / 陶柏 / 许猛 / 嫣红 / 刘叶舟 / 王硕 / 马驰 / 周展翅 / 周华安 / 顾佳欣 / 易波 / 一戈 / 姜田丰 / 郭恩强 / 常世奎 / 于健 / 王琦 / 赵雪 / 陶亮 / 黄杨 / 陆羊 / 王军 / 刘子凡 / 刘笑竹 / 卢莹 / 张广洁 / 方菲菲 / 许登雨 / 朱波 / 肖扬 / 魏翔 / 江夏 / 吴江 / 张辰 / 王野 / 贾悦明 / 王翡 / 简姗姗 / 申琴子 / 尹星人 / 桂百惠 / 管亚鑫 / 彭泽言 / 王思浩 / 关鹏 / 桂琛 / 朱磊 / 徐贤任 / 田川 / 李哲,喜剧 / 爱情, 中国大陆, 汉语普通话,2015-09-30(中国大陆),104分钟
